"Subj" "cond" "run" "rew" "cue" "acc_diff" "rt_diff"
13 1 2 1 1 16.6666666666667 -3.27499999999998
14 1 2 1 1 0 -109.25
15 1 2 1 1 35.3260869565217 -14.797619047619
17 1 2 1 1 25 -110.791666666667
18 1 2 1 1 0 -222.875
20 1 2 1 1 2.17391304347826 -82.25
21 1 2 1 1 28.5714285714286 -337.9
24 1 2 1 1 8.33333333333334 -168.102272727273
26 1 2 1 1 4.16666666666666 -88.0882352941176
27 1 2 1 1 0 -243.416666666667
28 1 2 1 1 12.5 -156.482142857143
29 1 2 1 1 20.8333333333333 -48.5131578947369
30 1 2 1 1 20.8333333333333 -104.868421052632
31 1 2 1 1 8.33333333333334 -158.318181818182
32 1 2 1 1 12.5 128.412698412699
33 1 2 1 1 20.8333333333333 -17.9398496240603
34 1 2 1 1 12.5 -149.833333333333
35 1 2 1 1 -3.26086956521739 -149.388888888889
36 1 2 1 1 20.8333333333333 -268.743421052632
37 1 2 1 1 37.5 -40.1583333333333
0 1 3 1 1 25 -6.45833333333326
1 1 3 1 1 29.1666666666667 -57.2205882352941
2 1 3 1 1 16.6666666666667 -144.109243697479
3 1 3 1 1 40 -51.0555555555557
4 1 3 1 1 41.6666666666667 -87.5178571428571
6 1 3 1 1 4.16666666666666 16.75
7 1 3 1 1 8.33333333333334 -4.84090909090901
8 1 3 1 1 13.0434782608696 -184.3
9 1 3 1 1 4.16666666666666 -192.163043478261
11 1 3 1 1 16.6666666666667 -236.809523809524
13 1 3 1 1 16.6666666666667 -79.025
14 1 3 1 1 0 -82.125
15 1 3 1 1 47.8260869565217 25.0416666666667
17 1 3 1 1 25 -347.166666666667
18 1 3 1 1 0 -224.125
20 1 3 1 1 14.6739130434783 -112.4
21 1 3 1 1 28.5714285714286 -415.15
24 1 3 1 1 8.33333333333334 -188.727272727273
26 1 3 1 1 29.1666666666667 -205.338235294118
27 1 3 1 1 0 -292.666666666667
28 1 3 1 1 12.5 -173.107142857143
29 1 3 1 1 8.33333333333334 -122.691729323308
30 1 3 1 1 8.33333333333334 -19.9398496240603
31 1 3 1 1 8.33333333333334 -42.9431818181818
32 1 3 1 1 12.5 186.126984126984
33 1 3 1 1 20.8333333333333 132.131578947368
34 1 3 1 1 37.5 -185.375
35 1 3 1 1 9.23913043478261 -114.031746031746
36 1 3 1 1 20.8333333333333 -167.868421052632
37 1 3 1 1 23.2142857142857 -152.366666666667
0 1 4 1 1 25 83.5416666666667
1 1 4 1 1 29.1666666666667 -44.4705882352941
2 1 4 1 1 16.6666666666667 -142.823529411765
3 1 4 1 1 27.5 -223.84126984127
4 1 4 1 1 41.6666666666667 -58.1428571428571
6 1 4 1 1 4.16666666666666 -107.125
7 1 4 1 1 8.33333333333334 -102.215909090909
8 1 4 1 1 13.0434782608696 -356.175
9 1 4 1 1 4.16666666666666 -192.663043478261
11 1 4 1 1 41.6666666666667 -334.267857142857
13 1 4 1 1 16.6666666666667 46.1
14 1 4 1 1 0 -181.125
15 1 4 1 1 35.3260869565217 -175.083333333333
17 1 4 1 1 25 -236.416666666667
18 1 4 1 1 0 -168.125
20 1 4 1 1 27.1739130434783 -52.5
21 1 4 1 1 16.0714285714286 -511.685714285714
24 1 4 1 1 8.33333333333334 -232.977272727273
26 1 4 1 1 29.1666666666667 -237.463235294118
27 1 4 1 1 0 -276.416666666667
28 1 4 1 1 12.5 -130.107142857143
29 1 4 1 1 20.8333333333333 -114.263157894737
30 1 4 1 1 20.8333333333333 -55.9934210526317
31 1 4 1 1 8.33333333333334 -30.3181818181818
32 1 4 1 1 0 241.555555555556
33 1 4 1 1 8.33333333333334 -109.654135338346
34 1 4 1 1 37.5 -282.125
35 1 4 1 1 21.7391304347826 -143.638888888889
36 1 4 1 1 8.33333333333334 -215.796992481203
37 1 4 1 1 37.5 -130.908333333333
0 2 1 1 2 0 50.8333333333333
1 2 1 1 2 12.5 53.968253968254
2 2 1 1 2 -8.57142857142857 12.625
3 2 1 1 2 0 20.3333333333333
4 2 1 1 2 0 36.8888888888889
6 2 1 1 2 4.16666666666666 -20.7
7 2 1 1 2 0 153.541666666667
8 2 1 1 2 8.33333333333334 -117.708333333333
9 2 1 1 2 16.6666666666667 -128.985714285714
11 2 1 1 2 8.33333333333334 75.2083333333333
13 2 1 1 2 0 22.25
14 2 1 1 2 -1.13636363636363 192.742857142857
15 2 1 1 2 -33.3333333333333 124.928571428571
17 2 1 1 2 -33.3333333333333 -250.15
18 2 1 1 2 -23.8095238095238 -77.75
20 2 1 1 2 -21.4285714285714 394.166666666667
21 2 1 1 2 2.27272727272727 -144.375
24 2 1 1 2 0 29.0833333333333
26 2 1 1 2 18.1818181818182 -104.472222222222
27 2 1 1 2 0 -104.5
28 2 1 1 2 4.16666666666666 82.4857142857144
29 2 1 1 2 -8.33333333333334 -233.857142857143
30 2 1 1 2 -16.6666666666667 -96.75
31 2 1 1 2 0 -84.5
32 2 1 1 2 16.6666666666667 -92.7249999999999
33 2 1 1 2 -12.5 49.952380952381
34 2 1 1 2 4.16666666666666 -51.0714285714287
35 2 1 1 2 -29.1666666666667 -12.0181818181819
36 2 1 1 2 27.3809523809524 141.5
37 2 1 1 2 0 58.375
0 2 2 1 2 -12.5 -43.5999999999999
1 2 2 1 2 25 94.2361111111111
2 2 2 1 2 5.71428571428571 -40.0416666666667
3 2 2 1 2 8.33333333333334 -3.90000000000009
4 2 2 1 2 0 45.3888888888889
6 2 2 1 2 2.38095238095237 -24.8666666666668
7 2 2 1 2 0 -131.166666666667
8 2 2 1 2 33.3333333333333 24.375
9 2 2 1 2 4.16666666666666 -82.5571428571429
11 2 2 1 2 -4.16666666666666 -78.7249999999999
13 2 2 1 2 0 -9.25
14 2 2 1 2 -13.6363636363636 -40.3571428571429
15 2 2 1 2 -15.4761904761905 -310.571428571429
17 2 2 1 2 -11.9047619047619 -162.1
18 2 2 1 2 4.76190476190477 33.45
20 2 2 1 2 12.5 218.266666666667
21 2 2 1 2 27.2727272727273 -122.75
24 2 2 1 2 -37.5 -41.0666666666668
26 2 2 1 2 18.1818181818182 -273.222222222222
27 2 2 1 2 0 11.375
28 2 2 1 2 16.6666666666667 105.325
29 2 2 1 2 -8.33333333333334 -231.107142857143
30 2 2 1 2 -16.6666666666667 35
31 2 2 1 2 0 -48.625
32 2 2 1 2 4.16666666666666 44.257142857143
33 2 2 1 2 0 69.9166666666667
34 2 2 1 2 -8.33333333333334 -165.833333333333
35 2 2 1 2 -20.2380952380952 235.781818181818
36 2 2 1 2 -1.1904761904762 -165.75
37 2 2 1 2 -14.2857142857143 277.333333333333
0 2 3 1 2 -32.1428571428571 -91.6666666666667
1 2 3 1 2 25 64.1111111111111
2 2 3 1 2 5.71428571428571 27.2916666666667
3 2 3 1 2 12.5 -111.071428571429
4 2 3 1 2 0 -39.4444444444445
6 2 3 1 2 -8.33333333333334 -71.5333333333333
7 2 3 1 2 0 -59.2619047619046
8 2 3 1 2 20.8333333333333 -118.446428571429
9 2 3 1 2 16.6666666666667 83.425
11 2 3 1 2 -4.16666666666666 -122.125
13 2 3 1 2 0 2.625
14 2 3 1 2 -1.13636363636363 39.742857142857
15 2 3 1 2 4.16666666666666 -163.571428571429
17 2 3 1 2 -11.9047619047619 -1.70000000000005
18 2 3 1 2 8.33333333333334 24.0833333333333
20 2 3 1 2 0 -30
21 2 3 1 2 27.2727272727273 -244.625
24 2 3 1 2 -12.5 -58.952380952381
26 2 3 1 2 18.1818181818182 -150.793650793651
27 2 3 1 2 0 -78.25
28 2 3 1 2 -8.33333333333334 -66.8
29 2 3 1 2 -8.33333333333334 -260.857142857143
30 2 3 1 2 20.8333333333333 45.0714285714287
31 2 3 1 2 0 52
32 2 3 1 2 -20.8333333333333 423.6
33 2 3 1 2 0 89.7916666666667
34 2 3 1 2 -8.33333333333334 -167.666666666667
35 2 3 1 2 -29.1666666666667 2.58181818181811
36 2 3 1 2 29.1666666666667 183.857142857143
37 2 3 1 2 -16.6666666666667 415.5
0 2 4 1 2 -12.5 -25.8
1 2 4 1 2 12.5 167.539682539682
2 2 4 1 2 20 174.053571428571
3 2 4 1 2 12.5 -92.0714285714287
4 2 4 1 2 0 -31.2777777777778
6 2 4 1 2 16.6666666666667 133.425
7 2 4 1 2 -12.5 -35.9761904761904
8 2 4 1 2 33.3333333333333 -148.375
9 2 4 1 2 16.6666666666667 68.425
11 2 4 1 2 8.33333333333334 -135.125
13 2 4 1 2 0 10.125
14 2 4 1 2 -1.13636363636363 36.5428571428572
15 2 4 1 2 16.6666666666667 -51.9047619047619
17 2 4 1 2 -8.33333333333334 98.7666666666667
18 2 4 1 2 33.3333333333333 271.25
20 2 4 1 2 -7.14285714285715 -26.3333333333334
21 2 4 1 2 27.2727272727273 -107.875
24 2 4 1 2 -25 -109.5
26 2 4 1 2 18.1818181818182 -80.7222222222222
27 2 4 1 2 -12.5 -64.9642857142857
28 2 4 1 2 16.6666666666667 26.2
29 2 4 1 2 16.6666666666667 -12.8571428571429
30 2 4 1 2 20.8333333333333 35.3571428571429
31 2 4 1 2 0 16.625
