"subj" "sweet" "savory" "air" "stim"
2 4.76 5.64666666666667 0.133333333333333 1
4 10 6.58 0.46 1
5 2.94 2.38 0.48 1
6 8.48 6.32666666666667 3.25333333333333 1
7 8.64666666666667 7.22 0.3 1
11 9.92666666666667 9.06 1.88 0
12 6.6 4.86 0.14 1
13 4.30666666666667 4.3 0.646666666666667 1
15 10 9.55333333333333 0 0
16 5.06 3.98 0.133333333333333 1
18 7.94666666666667 7.43333333333333 -0.206666666666667 0
21 4.03333333333333 2.26666666666667 0 1
23 5.14 5.01333333333333 0.0666666666666667 0
24 7.65333333333333 7.3 0.553333333333333 1
25 7.67333333333333 5.18 0.82 0
27 7.84 7.84 0.16 1
29 5.03333333333333 2.06 0.666666666666667 0
30 9.65333333333333 9.92 0 0
33 8.71333333333333 -8.04666666666667 -0.913333333333333 1
35 6.02666666666667 7.56 1.16666666666667 0
38 10 3.46 0.04 1
40 8.56666666666667 7.69333333333333 1.06666666666667 1
41 8.85333333333333 5.73333333333333 -0.16 1
43 8.27333333333333 5.97333333333333 1.42666666666667 0
44 7.35333333333333 4.22 4.35333333333333 1
45 4.60666666666667 5.3 0.0266666666666667 0
46 8.02666666666667 -1.89333333333333 0.0133333333333333 1
47 5.22 2.63333333333333 -0.593333333333333 0
48 6.87333333333333 1.57333333333333 0 0
49 9.98666666666667 1.35333333333333 0.886666666666667 0
50 3.73333333333333 -0.0933333333333333 0.466666666666667 0
51 6.51333333333333 4.74 -0.3 0
60 9.88 7.35333333333333 0.02 0
61 2.72 3.60666666666667 1.56 1
62 3.53333333333333 2.49333333333333 0 0
63 8.72 8.12666666666667 0.693333333333333 1
64 7.36666666666667 7.55333333333333 0.0733333333333333 0
65 10 9.98666666666667 0.00666666666666667 1
66 9.78 9.4 2.53333333333333 1
67 8.52666666666667 7.94 0 0
68 5.52 5.90666666666667 0.313333333333333 0
70 3.62666666666667 6.32666666666667 0.853333333333333 0
71 5.84666666666667 4.56666666666667 -3.53333333333333 0
72 6.74666666666667 2.01333333333333 0.06 1
73 5.01333333333333 5.98666666666667 0.713333333333333 0
74 9.69333333333334 6.28 1.58 1
75 3.68 5.92666666666667 0.0933333333333333 0
77 4.94 5.12 0.06 1
78 6.71333333333333 8.88666666666667 0.313333333333333 1
79 6.20666666666667 8.04 0 1
81 5.84 7.93333333333333 1.11333333333333 0
