"Subj"	"run"	"cond"	"rew"	"cue"	"group"	"sex"	"acc_diff"	"rt_diff"
63	4	1	1	2	1	1	0	-207.576923076923
64	4	1	1	2	0	1	31.25	-392.460317460318
65	4	1	1	2	1	2	-12.5	-321.883928571429
66	4	1	1	2	1	1	18.75	-397.753246753247
67	4	1	1	2	0	2	18.75	-148.509615384615
68	4	1	1	2	0	2	18.75	-329.682692307692
70	4	1	1	2	0	2	13.3333333333333	-381.211538461539
71	4	1	1	2	0	2	6.25	-202.5
72	4	1	1	2	1	2	12.5	-255.785714285714
73	4	1	1	2	0	2	37.5	-90.9821428571429
74	4	1	1	2	1	2	8.33333333333334	-56.7
75	4	1	1	2	0	1	37.5	-245.65
77	4	1	1	2	1	2	-17.5	-386.433333333333
78	4	1	1	2	1	2	18.75	-288.833333333333
79	4	1	1	2	1	1	6.66666666666667	-110.678571428571
81	4	1	1	2	0	1	0	-186.575
2	1	2	1	1	1	2	12.5	-71.2678571428571
4	1	2	1	1	1	2	0	43.75
5	1	2	1	1	1	2	12.5	-61.1964285714287
6	1	2	1	1	1	2	12.5	7.33928571428578
7	1	2	1	1	1	2	-16.6666666666667	185.433333333333
11	1	2	1	1	0	2	0	-19.2857142857142
12	1	2	1	1	1	1	0	-7.25
13	1	2	1	1	1	2	0	81.6666666666665
15	1	2	1	1	0	2	16.0714285714286	307.885714285714
16	1	2	1	1	1	2	25	-211.541666666667
18	1	2	1	1	0	2	12.5	2.33333333333326
21	1	2	1	1	1	2	12.5	-150.767857142857
23	1	2	1	1	0	1	-7.14285714285715	16.6666666666667
24	1	2	1	1	1	2	12.5	-62.8571428571429
25	1	2	1	1	0	2	-12.5	2.97619047619037
27	1	2	1	1	1	2	0	-64.8571428571427
29	1	2	1	1	0	1	0	-3.625
30	1	2	1	1	0	2	0	-92.5714285714287
33	1	2	1	1	1	1	0	-69.75
35	1	2	1	1	0	2	-26.6666666666667	-289.25
38	1	2	1	1	1	1	14.2857142857143	35.5833333333333
40	1	2	1	1	1	1	-12.5	15.1428571428573
41	1	2	1	1	1	2	23.8095238095238	-291.25
43	1	2	1	1	0	2	-12.5	25.547619047619
44	1	2	1	1	1	2	-12.5	32.6428571428571
45	1	2	1	1	0	1	0	44.625
46	1	2	1	1	1	1	25	-136.625
47	1	2	1	1	0	2	12.5	-275.875
48	1	2	1	1	0	2	25	-68.7619047619046
49	1	2	1	1	0	1	0	15.625
50	1	2	1	1	0	2	-17.8571428571429	128.083333333333
51	1	2	1	1	0	1	12.5	-18.9333333333332
60	1	2	1	1	0	1	-12.5	-104.125
61	1	2	1	1	1	1	-19.0476190476191	-130.083333333333
62	1	2	1	1	0	1	12.5	-152.4
63	1	2	1	1	1	1	16.6666666666667	-24
64	1	2	1	1	0	1	25	48.2666666666667
65	1	2	1	1	1	2	12.5	-140.690476190476
66	1	2	1	1	1	1	0	-270.625
67	1	2	1	1	0	2	4.16666666666666	141
68	1	2	1	1	0	2	32.1428571428571	335.166666666667
70	1	2	1	1	0	2	-10.7142857142857	183.5
71	1	2	1	1	0	2	-25	-259.333333333333
72	1	2	1	1	1	2	12.5	-9.71428571428567
73	1	2	1	1	0	2	25	-6.71428571428567
74	1	2	1	1	1	2	7.14285714285714	-46.75
75	1	2	1	1	0	1	28.5714285714286	-25.75
77	1	2	1	1	1	2	5.35714285714286	171.6
78	1	2	1	1	1	2	-12.5	-72.1904761904761
79	1	2	1	1	1	1	-12.5	-104.571428571428
81	1	2	1	1	0	1	2.38095238095237	68.1333333333332
2	2	2	1	1	1	2	12.5	-208.517857142857
4	2	2	1	1	1	2	0	-170.125
5	2	2	1	1	1	2	12.5	2.05357142857133
6	2	2	1	1	1	2	12.5	-45.0357142857142
7	2	2	1	1	1	2	-14.2857142857143	-5
11	2	2	1	1	0	2	12.5	-90.6071428571429
12	2	2	1	1	1	1	-12.5	-72.2142857142858
13	2	2	1	1	1	2	-12.5	110.033333333333
15	2	2	1	1	0	2	16.0714285714286	69.8857142857141
16	2	2	1	1	1	2	25	-334.166666666667
18	2	2	1	1	0	2	0	106.8
21	2	2	1	1	1	2	12.5	-141.642857142857
23	2	2	1	1	0	1	-12.5	-134.666666666667
24	2	2	1	1	1	2	12.5	-111.482142857143
25	2	2	1	1	0	2	-12.5	-125.190476190476
27	2	2	1	1	1	2	12.5	-50.3035714285713
29	2	2	1	1	0	1	0	-118
30	2	2	1	1	0	2	12.5	-197.75
33	2	2	1	1	1	1	-12.5	-61.0357142857142
35	2	2	1	1	0	2	33.3333333333333	-63.5
38	2	2	1	1	1	1	1.78571428571429	-71.452380952381
40	2	2	1	1	1	1	0	-9.92857142857133
41	2	2	1	1	1	2	38.0952380952381	-113.6
43	2	2	1	1	0	2	0	165.571428571429
44	2	2	1	1	1	2	0	-57.375
45	2	2	1	1	0	1	0	-190.071428571429
46	2	2	1	1	1	1	25	-340.25
47	2	2	1	1	0	2	0	-281.285714285714
48	2	2	1	1	0	2	25	-27.6190476190475
49	2	2	1	1	0	1	-12.5	101.535714285714
50	2	2	1	1	0	2	-17.8571428571429	-69.9166666666667
51	2	2	1	1	0	1	12.5	-2.26666666666665
60	2	2	1	1	0	1	0	16.875
61	2	2	1	1	1	1	-14.2857142857143	-187.033333333333
62	2	2	1	1	0	1	25	-202.828571428571
63	2	2	1	1	1	1	-8.33333333333334	-28.4000000000001
64	2	2	1	1	0	1	5.35714285714285	58.3333333333335
65	2	2	1	1	1	2	12.5	-72.9761904761904
66	2	2	1	1	1	1	0	-203.75
67	2	2	1	1	0	2	0	-103.4
68	2	2	1	1	0	2	7.14285714285715	105.416666666667
70	2	2	1	1	0	2	-10.7142857142857	189.5
71	2	2	1	1	0	2	-37.5	-254
72	2	2	1	1	1	2	0	-114
73	2	2	1	1	0	2	25	84.1428571428571
74	2	2	1	1	1	2	12.5	-182.95
75	2	2	1	1	0	1	28.5714285714286	104.25
77	2	2	1	1	1	2	-19.6428571428571	-37.3333333333333
78	2	2	1	1	1	2	-12.5	-21.3571428571429
79	2	2	1	1	1	1	0	-47.3928571428571
81	2	2	1	1	0	1	0	197.6
2	3	2	1	1	1	2	12.5	-126.392857142857
4	3	2	1	1	1	2	0	-161.5
5	3	2	1	1	1	2	12.5	-101.821428571429
6	3	2	1	1	1	2	12.5	-116.285714285714
7	3	2	1	1	1	2	0	20.8333333333333
11	3	2	1	1	0	2	12.5	-173.482142857143
12	3	2	1	1	1	1	-12.5	-164.357142857143
13	3	2	1	1	1	2	0	149.5
15	3	2	1	1	0	2	28.5714285714286	73.4749999999999
16	3	2	1	1	1	2	25	-308.041666666667
18	3	2	1	1	0	2	-12.5	44.75
21	3	2	1	1	1	2	-12.5	-73.3095238095239
23	3	2	1	1	0	1	-12.5	-65.3333333333333
24	3	2	1	1	1	2	12.5	-152.482142857143
25	3	2	1	1	0	2	-25	-212.257142857143
27	3	2	1	1	1	2	0	-27.1428571428571
29	3	2	1	1	0	1	0	-235.125
30	3	2	1	1	0	2	12.5	-224.625
33	3	2	1	1	1	1	0	-77
35	3	2	1	1	0	2	0	-291.5
38	3	2	1	1	1	1	14.2857142857143	-131.416666666667
40	3	2	1	1	1	1	0	-52.2857142857142
41	3	2	1	1	1	2	50	-169
43	3	2	1	1	0	2	0	5.42857142857133
44	3	2	1	1	1	2	0	-85.125
45	3	2	1	1	0	1	0	-101.071428571429
46	3	2	1	1	1	1	12.5	-312.357142857143
47	3	2	1	1	0	2	12.5	-387.714285714286
48	3	2	1	1	0	2	0	-11.8333333333333
49	3	2	1	1	0	1	0	-43.375
50	3	2	1	1	0	2	-17.8571428571429	-129.666666666667
51	3	2	1	1	0	1	37.5	134.542857142857
60	3	2	1	1	0	1	0	-113.125
61	3	2	1	1	1	1	-10.7142857142857	-243.666666666667
62	3	2	1	1	0	1	25	-120.828571428571
63	3	2	1	1	1	1	-11.9047619047619	-23.8000000000002
64	3	2	1	1	0	1	33.9285714285714	-35.7333333333333
65	3	2	1	1	1	2	25	29.6666666666667
66	3	2	1	1	1	1	0	-265.75
67	3	2	1	1	0	2	16.6666666666667	-19.2857142857142
68	3	2	1	1	0	2	19.6428571428571	89.0666666666667
70	3	2	1	1	0	2	-28.5714285714286	76.25
71	3	2	1	1	0	2	-12.5	32.5
72	3	2	1	1	1	2	12.5	-11.1428571428571
73	3	2	1	1	0	2	25	-70.8571428571429
74	3	2	1	1	1	2	25	-23.75
75	3	2	1	1	0	1	9.52380952380952	-268
77	3	2	1	1	1	2	-32.1428571428571	-197.5
78	3	2	1	1	1	2	-12.5	-71.8571428571429
79	3	2	1	1	1	1	0	-99.0178571428571
81	3	2	1	1	0	1	4.16666666666666	87.5142857142857
2	4	2	1	1	1	2	0	-189.142857142857
4	4	2	1	1	1	2	0	-183.125
5	4	2	1	1	1	2	0	-119
6	4	2	1	1	1	2	12.5	-47.9107142857142
7	4	2	1	1	1	2	0	187.083333333333
11	4	2	1	1	0	2	12.5	-126.982142857143
12	4	2	1	1	1	1	0	-65
13	4	2	1	1	1	2	25	95.5833333333333
15	4	2	1	1	0	2	28.5714285714286	62.5999999999999
16	4	2	1	1	1	2	25	-356.291666666667
18	4	2	1	1	0	2	12.5	79.5
21	4	2	1	1	1	2	0	-34.1428571428571
23	4	2	1	1	0	1	-12.5	-101
24	4	2	1	1	1	2	12.5	-123.857142857143
25	4	2	1	1	0	2	-12.5	59.9761904761904
27	4	2	1	1	1	2	12.5	-114.428571428571
29	4	2	1	1	0	1	0	-260.75
30	4	2	1	1	0	2	12.5	-166.25
33	4	2	1	1	1	1	0	-153.875
35	4	2	1	1	0	2	33.3333333333333	-162
38	4	2	1	1	1	1	1.78571428571429	-136.02380952381
40	4	2	1	1	1	1	0	-120.678571428571
41	4	2	1	1	1	2	52.3809523809524	-224.666666666667
43	4	2	1	1	0	2	12.5	190.464285714286
44	4	2	1	1	1	2	-25	-269.666666666667
45	4	2	1	1	0	1	0	-62.25
46	4	2	1	1	1	1	12.5	-308.642857142857
47	4	2	1	1	0	2	12.5	-308
48	4	2	1	1	0	2	25	-13.7619047619046
49	4	2	1	1	0	1	0	-41.125
50	4	2	1	1	0	2	12.5	87.047619047619
51	4	2	1	1	0	1	37.5	70.0250000000001
60	4	2	1	1	0	1	0	-211.625
61	4	2	1	1	1	1	14.2857142857143	-328.119047619047
62	4	2	1	1	0	1	25	-135.971428571429
63	4	2	1	1	1	1	-8.33333333333334	-119.4
64	4	2	1	1	0	1	37.5	-5.83333333333326
65	4	2	1	1	1	2	25	-10.2083333333333
66	4	2	1	1	1	1	0	-385.375
67	4	2	1	1	0	2	16.6666666666667	137.125
68	4	2	1	1	0	2	32.1428571428571	113
70	4	2	1	1	0	2	-10.7142857142857	189.666666666667
71	4	2	1	1	0	2	-12.5	-57.25
72	4	2	1	1	1	2	0	10.1666666666666
73	4	2	1	1	0	2	25	-61.7142857142857
74	4	2	1	1	1	2	37.5	-65.0357142857142
75	4	2	1	1	0	1	14.2857142857143	22.75
77	4	2	1	1	1	2	5.35714285714286	-42.2
78	4	2	1	1	1	2	-1.78571428571429	59.4761904761904
79	4	2	1	1	1	1	0	-166.267857142857
81	4	2	1	1	0	1	16.6666666666667	111.8
2	1	3	0	2	1	2	40	-167.305555555556
4	1	3	0	2	1	2	0	-56.375
5	1	3	0	2	1	2	6.25	247.333333333333
6	1	3	0	2	1	2	6.25	-5.70000000000005
7	1	3	0	2	1	2	0	-28.7678571428571
11	1	3	0	2	0	2	6.25	-166.683333333333
12	1	3	0	2	1	1	0	25.5625
13	1	3	0	2	1	2	0	100.8125
15	1	3	0	2	0	2	25	-174.857142857143
16	1	3	0	2	1	2	0	-377.3125
18	1	3	0	2	0	2	12.5	-261.696428571429
21	1	3	0	2	1	2	13.3333333333333	-78.9711538461538
23	1	3	0	2	0	1	-12.5	146.695238095238
24	1	3	0	2	1	2	0	-56
25	1	3	0	2	0	2	-12.5	35.7232142857143
27	1	3	0	2	1	2	-6.25	-171.857142857143
29	1	3	0	2	0	1	0	-31.25
30	1	3	0	2	0	2	12.5	-29.8571428571429
33	1	3	0	2	1	1	12.5	-174.625
35	1	3	0	2	0	2	18.1818181818182	-84.2777777777777
38	1	3	0	2	1	1	6.66666666666667	-169.714285714286
40	1	3	0	2	1	1	-12.5	-174.794642857143
41	1	3	0	2	1	2	7.14285714285714	29.2211538461538
43	1	3	0	2	0	2	6.25	-9.00833333333333
44	1	3	0	2	1	2	0	-254.5625
45	1	3	0	2	0	1	0	-217.0625
46	1	3	0	2	1	1	6.25	-203.9
47	1	3	0	2	0	2	0	-97.4375
48	1	3	0	2	0	2	12.5	231.607142857143
49	1	3	0	2	0	1	31.25	58.9318181818181
50	1	3	0	2	0	2	25	-109.942857142857
51	1	3	0	2	0	1	0	-16.4761904761904
60	1	3	0	2	0	1	0	-107.0625
61	1	3	0	2	1	1	14.2857142857143	-127.375
62	1	3	0	2	0	1	0	-0.9375
63	1	3	0	2	1	1	23.0769230769231	74.5999999999999
64	1	3	0	2	0	1	7.5	58.9166666666667
65	1	3	0	2	1	2	25	-23.4583333333334
66	1	3	0	2	1	1	0	-269.3125
67	1	3	0	2	0	2	0	-54.6964285714287
68	1	3	0	2	0	2	14.1666666666667	-292.207792207792
70	1	3	0	2	0	2	31.25	-208.329545454545
71	1	3	0	2	0	2	-1.78571428571429	128.642857142857
72	1	3	0	2	1	2	0	-78.5
73	1	3	0	2	0	2	18.75	-5.78846153846155
74	1	3	0	2	1	2	0	296.5625
75	1	3	0	2	0	1	0	49.2211538461538
77	1	3	0	2	1	2	7.14285714285714	37.6428571428571
78	1	3	0	2	1	2	6.25	27.8939393939395
79	1	3	0	2	1	1	14.2857142857143	-203.119047619047
81	1	3	0	2	0	1	0	-40.25
2	2	3	0	2	1	2	40	-242.680555555556
4	2	3	0	2	1	2	0	-223.875
5	2	3	0	2	1	2	56.25	26.1428571428571
6	2	3	0	2	1	2	6.25	-72.325
7	2	3	0	2	1	2	0	-147.053571428571
11	2	3	0	2	0	2	6.25	-162.683333333333
12	2	3	0	2	1	1	0	-43.6875
13	2	3	0	2	1	2	0	18.0625
15	2	3	0	2	0	2	12.5	-90.1666666666667
16	2	3	0	2	1	2	0	-510.4375
18	2	3	0	2	0	2	12.5	-280.446428571429
21	2	3	0	2	1	2	13.3333333333333	-147.971153846154
23	2	3	0	2	0	1	0	3.64166666666665
24	2	3	0	2	1	2	-12.5	-63.3214285714286
25	2	3	0	2	0	2	0	-5.4375
27	2	3	0	2	1	2	6.25	-219.625
29	2	3	0	2	0	1	0	34.75
30	2	3	0	2	0	2	12.5	-150.107142857143
33	2	3	0	2	1	1	12.5	-183.25
35	2	3	0	2	0	2	3.89610389610388	-200.277777777778
38	2	3	0	2	1	1	-5.83333333333333	-59.5714285714284
40	2	3	0	2	1	1	0	35.9375
41	2	3	0	2	1	2	7.14285714285714	-83.4038461538462
43	2	3	0	2	0	2	6.25	-30.5083333333333
44	2	3	0	2	1	2	0	-150.3125
45	2	3	0	2	0	1	0	-181.4375
46	2	3	0	2	1	1	-6.25	-232.971428571429
47	2	3	0	2	0	2	0	-133.0625
48	2	3	0	2	0	2	12.5	-15.3928571428571
49	2	3	0	2	0	1	6.25	-236.318181818182
50	2	3	0	2	0	2	37.5	-81.55
51	2	3	0	2	0	1	0	-119.583333333333
60	2	3	0	2	0	1	0	-178.4375
61	2	3	0	2	1	1	14.2857142857143	-34.625
62	2	3	0	2	0	1	0	-32.3125
63	2	3	0	2	1	1	23.0769230769231	242.228571428571
64	2	3	0	2	0	1	20	91.9166666666667
65	2	3	0	2	1	2	25	-139.458333333333
66	2	3	0	2	1	1	0	-224.0625
67	2	3	0	2	0	2	0	-96.6964285714287
68	2	3	0	2	0	2	26.6666666666667	-418.761363636364
70	2	3	0	2	0	2	31.25	-121.329545454545
71	2	3	0	2	0	2	-12.5	-48.0238095238095
72	2	3	0	2	1	2	0	-243.125
73	2	3	0	2	0	2	18.75	-54.2884615384615
74	2	3	0	2	1	2	0	168.0625
75	2	3	0	2	0	1	0	-253.653846153846
77	2	3	0	2	1	2	-7.14285714285715	-117.190476190476
78	2	3	0	2	1	2	18.75	-73.1298701298701
79	2	3	0	2	1	1	1.78571428571429	-142.404761904762
81	2	3	0	2	0	1	0	-218
2	3	3	0	2	1	2	40	-83.8055555555557
4	3	3	0	2	1	2	0	-372.375
5	3	3	0	2	1	2	56.25	-116.857142857143
6	3	3	0	2	1	2	6.25	-200.075
7	3	3	0	2	1	2	0	-39.75
11	3	3	0	2	0	2	6.25	-211.183333333333
12	3	3	0	2	1	1	0	-66.0625
13	3	3	0	2	1	2	0	48.9375
15	3	3	0	2	0	2	12.5	-73
16	3	3	0	2	1	2	0	-531.0625
18	3	3	0	2	0	2	12.5	-206.321428571429
21	3	3	0	2	1	2	13.3333333333333	-112.096153846154
23	3	3	0	2	0	1	0	-32.1083333333333
24	3	3	0	2	1	2	0	10.625
25	3	3	0	2	0	2	0	-164.0625
27	3	3	0	2	1	2	6.25	-339.875
29	3	3	0	2	0	1	0	-155.75
30	3	3	0	2	0	2	12.5	-239.357142857143
33	3	3	0	2	1	1	12.5	-103.75
35	3	3	0	2	0	2	18.1818181818182	112.263888888889
38	3	3	0	2	1	1	6.66666666666667	-138.017857142857
40	3	3	0	2	1	1	0	-304.8125
41	3	3	0	2	1	2	7.14285714285714	-139.278846153846
43	3	3	0	2	0	2	6.25	-71.2583333333333
44	3	3	0	2	1	2	0	-425.5625
45	3	3	0	2	0	1	0	-264.6875
46	3	3	0	2	1	1	6.25	-286.525
47	3	3	0	2	0	2	0	-238.0625
48	3	3	0	2	0	2	12.5	-51.3928571428571
49	3	3	0	2	0	1	31.25	-71.4431818181819
50	3	3	0	2	0	2	37.5	-104.425
51	3	3	0	2	0	1	-12.5	-195.190476190476
60	3	3	0	2	0	1	-12.5	-201.241071428571
61	3	3	0	2	1	1	14.2857142857143	-105.875
62	3	3	0	2	0	1	0	28.1875
63	3	3	0	2	1	1	23.0769230769231	-103.2
